Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
Translator,10.கேப்டன் மகள் (ஸ்ரீ செண்பகா பதிப்பகம்),அலெக்சாந்தர் புஷ்கின்,பூ. சோமசுந்தரம்,,தமிழ்,224,ஸ்ரீ செண்பகா பதிப்பகம்,2023,நாவல்,-,220,-,paperback
Translator,11.முறியடிப்பு (ஸ்ரீ செண்பகா பதிப்பகம்),அலெக்சாந்தர் ஃபதேயெவ்,பூ. சோமசுந்தரம்,,தமிழ்,320,ஸ்ரீ செண்பகா பதிப்பகம்,2023,நாவல்,-,320,-,paperback
Translator,12.அதிகாலையின் அமைதியில் (ஸ்ரீ செண்பகா பதிப்பகம்),,பூ. சோமசுந்தரம்,,தமிழ்,200,ஸ்ரீ செண்பகா பதிப்பகம்,2023,நாவல்,-,200,-,paperback
Translator,13.அன்னை வயல் (Dravidian Stock),சிங்கிஸ் ஐத்மாத்தவ்,பூ. சோமசுந்தரம்,,தமிழ்,-,திராவிடன் ஸ்டாக்,2022,"நாவல்,மொழிபெயர்ப்பு",-,160,-,paperback
Translator,14.மேல் கோட்டு,,பூ. சோமசுந்தரம்,,தமிழ்,-,மலர் புக்ஸ்,2022,"சிறுகதை,மொழிபெயர்ப்பு",-,380,-,paperback
Translator,15.இயற்கை விஞ்ஞானியின் கதைகள்,,பூ. சோமசுந்தரம்,,தமிழ்,-,மலர் புக்ஸ்,2022,"சிறுவர் கதை, மொழிபெயர்ப்பு",-,200,9789391947149,paperback
Translator,16.நாய் சடைச்சியும் சிறுவன் போரியாவும்,"ம. பரானவா ,யெ. வெல்தீஸ்தவ்",பூ. சோமசுந்தரம்,,தமிழ்,232,பாரதி புத்தகாலயம்,2022,அறிவியல் புனைவு,-,320,-,paperback
Translator,17.மூன்று காதல் கதைகள் (வளரி வெளியீடு),இவான் துர்கனேவ்,பூ. சோமசுந்தரம்,,தமிழ்,-,வளரி வெளியீடு,2020,காதல்,-,400,-,paperback
Translator,18.சோவியத் இனமொழிச் சிறுகதைகள் (வளரி),,பூ. சோமசுந்தரம்,,தமிழ்,-,வளரி வெளியீடு,2019,"சிறுகதை,மொழிபெயர்ப்பு",-,210,-,paperback
Translator,19.இயற்கை விஞ்ஞானியின் கதைகள் (நீலவால் குருவி),,பூ. சோமசுந்தரம்,,தமிழ்,-,நீலவால் குருவி,2019,சிறுவர் கதை,அறிவியல் / தொழில்நுட்பம்,,-,paperback
