      Author,                              Title,Orginal Author,Translator ,Editor ,Editor/Orginal Author ,   Language,    No of pages ,             Publisher,Year of Published,              Category ,Subject,    Price,            ISBN,Book format
"                                     """,3. சிநேகிதி (தமிழ் புத்தகாலயம்) ,,,,-,தமிழ் ,,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,024",-,-,270,-,Paperback 
"                                     """,4. வெற்றியின் ரகசியங்கள் ,,,,-,தமிழ் ,240,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,022",கட்டுரை,-,275,-,Paperback 
"                                     """,5. நெஞ்சினலைகள் ,,,,-,தமிழ் ,268,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,022",நாவல்,-,300,-,Paperback 
"                                     """,6. வெற்றித் திருநகர் ,,,,-,தமிழ் ,532,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,022",நாவல்,-,500,9788190000000,Paperback 
"                                     """,7. எங்கள் மண்ணும் இந்த நாட்களும் ,,,,-,தமிழ் ,72,காலச்சுவடு,"2,019",கவிதை,,90,9789390000000,Paperback 
"                                     """,8. புது வெள்ளம் ,,,,-,தமிழ் ,656,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,018",நாவல்,-,500,-,Paperback 
"                                     """,9. பெண்(தாகம்) ,,,,-,தமிழ் ,128,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,014",நாவல்,-,100,-,Paperback 
"                                     """,10. பால்மரக் காட்டினிலே ,,,,-,தமிழ் ,240,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,013",நாவல்,-,150,-,Paperback 
"                                     """,11. பொன்மலர் ,,,,-,தமிழ் ,,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,010",நாவல்,-,260,-,Paperback 
"                                     """,12. வேங்கையின் மைந்தன் ,,,,-,தமிழ் ,,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,010",நாவல்,-,200,-,Paperback 
மொழிபெயர்ப்பு:அகிலன்,13. கன்ஃபூஷியஸின் கருத்துப் பெட்டகம்,,,,மூலம்:வாங்கெங் சென்,தமிழ் ,224,கண்ணதாசன் பதிப்பகம்,"2,010","கட்டுரை, மொழிபெயர்ப்பு",சுயமுன்னேற்றம்,250,9788180000000,Paperback 
"                                     """,14. துணைவி (தாகம்) ,,,,-,தமிழ் ,108,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,009",நாவல்,-,40,-,Paperback 
"                                     """,15. காசுமரம் ,,,,-,தமிழ் ,112,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,005",திரைக்கதை,-,40,-,Paperback 
"                                     """,16. கதைக் கலை ,,,,-,தமிழ் ,160,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,002",கட்டுரை,-,45,-,Paperback 
"                                     """,17. எழுத்தும் வாழ்க்கையும் (அகிலன்) ,,,,-,தமிழ் ,406,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,002","கட்டுரை, தன்வரலாறு",-,105,-,Paperback 
"                                     """,18. சத்திய ஆவேசம் ,,,,-,தமிழ் ,160,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,001",சிறுகதை,-,45,-,Paperback 
"                                     """,19. கண்ணான கண்ணன் ,,,,-,தமிழ் ,68,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,000",சிறுவர் கதை,-,35,-,Paperback 
"                                     """,20. நல்ல பையன் ,,,,-,தமிழ் ,68,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,000",சிறுவர் கதை,-,35,-,Paperback 
"                                     """,21. தமிழ்ச் சிறுகதைகள் (தொகுதி 2) ,,,,-,தமிழ் ,210,சாகித்திய அகாடெமி,"2,000",சிறுகதை,-,200,8172014295,Paperback 
"                                     """,22. நிலவினிலே ,,,,-,தமிழ் ,128,தமிழ்ப் புத்தகாலயம் - தாகம்,"1,996",சிறுகதை,-,26,-,Paperback 
