           Author,                              Title,Orginal Author,Translator ,Editor ,Editor/Orginal Author ,   Language,    No of pages ,             Publisher,Year of Published,              Category ,Subject,    Price,            ISBN,Book format
Translation,1.கடல் என்னை நேசிக்கிறது,-,சமயவேல்,-,,தமிழ்,180,தமிழ்வெளி,2024,"நாவல்,மொழிபெயர்ப்பு",-,250,9789392543746,paperback 
Translation,2.ஓர் இலையுதிர்கால மலர் வாடுவதும் இல்லை வீழ்வதும் இல்லை,-,சமயவேல்,-,,தமிழ்,256,தமிழ்வெளி,2024,"கவிதை,மொழிபெயர்ப்பு",-,380,9789392543814,paperback 
Translation,3.ஒன்றுமின்மையின் குதூகலம்,ரியோகான்,சமயவேல்,-,,தமிழ்,256,தமிழ்வெளி,2023,"கவிதை,மொழிபெயர்ப்பு",-,280,9789392543661,paperback 
சமயவேல்,4.தமிழ்வெளி,-,-,-,,தமிழ்,-,தமிழ்வெளி,2023,பருவ இதழ்,"இலக்கியம்,கலை",150,-,paperback 
சமயவேல்,5.புனைவும் நினைவும்,-,-,-,,தமிழ்,-,தமிழ்வெளி,2023,சிறுகதை,-,240,9789392543418,paperback 
Editor ,6.தமிழ்வெளி,-,-,சமயவேல்,,தமிழ்,,தமிழ்வெளி,2023,பருவ இதழ்,"இலக்கியம்,கலை",150,-,paperback 
Translation,7.யாரோவொருவர் அங்கே நடுங்கிக்கொண்டிருகிறார்,அலெயேந்திரா பிஸார்நிக்,சமயவேல்,-,,தமிழ்,256,தமிழ்வெளி,2022,"கவிதை,மொழிபெயர்ப்பு",-,380,-,paperback 
Translation,8.பொறி முதலிய நாடகங்கள்,-,சமயவேல்,-,,தமிழ்,192,தமிழ்வெளி,2022,"நாடகம்,மொழிபெயர்ப்பு",-,220,9789392543180,paperback 
Editor ,9.தமிழ்வெளி,-,-,சமயவேல்,,தமிழ்,-,தமிழ்வெளி,2021,பருவ இதழ்,இலக்கியம்,120,-,Paperback 
Editor ,10.தமிழ்வெளி,-,-,சமயவேல்,,தமிழ்,-,தமிழ்வெளி,2021,பருவ இதழ்,"இலக்கியம்,கலை",120,-,paperback 
Editor ,11.தமிழ்வெளி,-,-,சமயவேல்,,தமிழ்,-,தமிழ்வெளி,2021,பருவ இதழ்,"இலக்கியம்,கலை",120,-,paperback 
சமயவேல்,12.சமகாலம் என்னும் நஞ்சு,-,-,-,,தமிழ்,102,தமிழ்வெளி,2021,கவிதை,-,100,-,paperback 
Editor ,13.தமிழ்வெளி,-,-,சமயவேல்,,தமிழ்,-,தமிழ்வெளி,2021,பருவ இதழ்,"இலக்கியம்,கலை",120,-,paperback 
translation,14.குளோரியா ஃப்யூர்டஸ் கவிதைகள்,-,சமயவேல்,-,,தமிழ்,96,தமிழ்வெளி,2019,கவிதை,-,99,9788193691069,paperback 
சமயவேல்,15.இப்போது நீங்கள் என்ன செய்து கொண்டிருக்கிறீர்கள்,-,-,-,,தமிழ்,-,தமிழ்வெளி,2019,கவிதை,-,100,-,paperback 
சமயவேல்,16.புனைவும் நினைவும்,-,-,-,,தமிழ்,-,மணல்வீடு,2019,சிறுகதை,-,100,-,paperback 
Translation,17.அன்னா ஸ்விர் கவிதைகள்,-,சமயவேல்,-,,தமிழ்,128,தமிழ்வெளி,2018,கவிதை,-,99,9788193691014,paperback 
சமயவேல்,18.ஆண்பிரதியும் பெண்பிரதியும்,-,-,-,,தமிழ்,160,மணல்வீடு,2017,கட்டுரை,-,150,-,paperback 
சமயவேல்,19.பறவைகள் நிரம்பிய முன்னிரவு,-,-,-,,தமிழ்,64,மலைகள்,2014,கவிதை,-,80,-,paperback 
"""",20.அரைக் கணத்தின் புத்தகம்,-,-,-,,தமிழ்,120,உயிர்மை பதிப்பகம்,2007,கவிதை,-,70,9788189912321,paperback 
"""",21.கண்மாய்க்கரை நாகரிகம்,-,-,-,,தமிழ்,120,தமிழ்வெளி,-,கவிதை,-,120,-,paperback 
,,,,,,,,,,,,,,
சி. எம். முத்து,1.சி.எம். முத்துவின் தேர்ந்தெடுத்த சிறுகதைகள்,-,-,-,,தமிழ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,2022,சிறுகதை,-,565,9788123441832,paperback 
"""",2.மிராசு,-,-,-,,தமிழ்,900,அனன்யா,2018,நாவல்,-,780,9788192861630,paperback 
"""",3.கறிச்சோறு,-,-,-,,தமிழ்,195,நியூசெஞ்சுரி புக் ஹவுஸ்,2015,நாவல்,-,155,9788123430904,paperback 
"""",4.அன்னை கஸ்தூரிபாவின் வாழ்வும் போராட்டமும்,-,-,-,,தமிழ்,59,அறிவுப் பதிப்பகம்,2015,வாழ்க்கை வரலாறு,-,55,9789383670840,paperback 
